TF-layer	name	V$BRCA_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:234889	3	BRCA1:USF2
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:104112	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:110196	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:110855	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:11676	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:13121	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:13122	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:13360	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:14137	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:15357	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:16987	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:17252	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:17855	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:18194	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:192156	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:20775	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:208715	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:235293	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:23972	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:242341	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:319554	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:60525	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:66234	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:68603	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:72361	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:74205	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:76267	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:76654	2	C/EBPalpha
TF-layer	name	V$CEBPA_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:77697	2	C/EBPalpha
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:100328588	3	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:104110	1	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:110198	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:11951	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:12867	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:13095	3	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:13135	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:13478	3	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:14204	3	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:14387	3	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:14450	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:14731	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:18451	3	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:18950	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:19223	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:20810	1	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:208624	1	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:230801	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:234671	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:23887	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:257635	3	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:26912	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:27419	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:30956	3	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:55979	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:56632	3	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:57295	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:66052	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:66171	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:66445	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:66491	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:67375	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:67442	3	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:67942	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:68255	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:69719	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:69875	2	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:71797	1	CREB1
TF-layer	name	V$CREB1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:78929	2	CREB1
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:110074	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:110175	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:11605	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:11886	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:140483	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:14377	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:14537	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:14866	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:15212	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:15493	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:18103	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:18578	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:18783	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:19286	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:208665	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:212032	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:21391	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:22017	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:234889	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:270084	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:29807	3	DBP
TF-layer	name	V$DBP_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:52665	3	DBP
